Date,Close,Volume,Open,High,Low,stock
4/29/2022,"$2,485.63 ",13633090,"$2,596.98 ","$2,615.22 ","$2,432.50 ",AMZN
4/28/2022,"$2,891.93 ",5865847,"$2,843.56 ","$2,918.75 ","$2,806 ",AMZN
4/27/2022,"$2,763.34 ",3566815,"$2,803.83 ","$2,838.97 ","$2,715.67 ",AMZN
4/26/2022,"$2,787.82 ",3876458,"$2,896 ","$2,897.12 ","$2,778.59 ",AMZN
4/25/2022,"$2,921.48 ",3093749,"$2,880.46 ","$2,924.43 ","$2,846.13 ",AMZN
4/22/2022,"$2,887 ",3653929,"$2,965 ","$2,992.30 ","$2,873.95 ",AMZN
4/21/2022,"$2,965.92 ",3198466,"$3,094.28 ","$3,134.76 ","$2,951.79 ",AMZN
4/20/2022,"$3,079.96 ",2981501,"$3,152.05 ","$3,152.05 ","$3,072.07 ",AMZN
4/19/2022,"$3,162.31 ",2746321,"$3,040.59 ","$3,172.98 ","$3,031.01 ",AMZN
4/18/2022,"$3,055.70 ",2325676,"$3,030.47 ","$3,080.79 ","$3,005.01 ",AMZN
4/14/2022,"$3,034.13 ",2579907,"$3,107.80 ","$3,117.94 ","$3,029.44 ",AMZN
4/13/2022,"$3,110.82 ",2669544,"$3,000.37 ","$3,120.50 ","$2,992 ",AMZN
4/12/2022,"$3,015.75 ",2758872,"$3,073.85 ","$3,101.98 ","$3,007.66 ",AMZN
4/11/2022,"$3,022.44 ",2605617,"$3,054.26 ","$3,082.73 ","$3,010.69 ",AMZN
4/8/2022,"$3,089.21 ",2300083,"$3,135 ","$3,147.37 ","$3,084.62 ",AMZN
4/7/2022,"$3,155.69 ",3406839,"$3,168 ","$3,201.58 ","$3,090.23 ",AMZN
4/6/2022,"$3,175.12 ",3952788,"$3,233.01 ","$3,244 ","$3,145.09 ",AMZN
4/5/2022,"$3,281.10 ",2686428,"$3,354.83 ","$3,362.21 ","$3,265.32 ",AMZN
4/4/2022,"$3,366.93 ",2500398,"$3,282.50 ","$3,367.89 ","$3,264.11 ",AMZN
4/1/2022,"$3,271.20 ",2854475,"$3,282.99 ","$3,316.54 ","$3,246.39 ",AMZN
3/31/2022,"$3,259.95 ",2998289,"$3,328.90 ","$3,329.90 ","$3,259.07 ",AMZN
3/30/2022,"$3,326.02 ",2808363,"$3,370.19 ","$3,379.01 ","$3,310 ",AMZN
3/29/2022,"$3,386.30 ",3307680,"$3,407.68 ","$3,416.63 ","$3,357.37 ",AMZN
3/28/2022,"$3,379.81 ",2992691,"$3,299.50 ","$3,380.75 ","$3,298 ",AMZN
3/25/2022,"$3,295.47 ",2454275,"$3,280 ","$3,307.37 ","$3,245 ",AMZN
3/24/2022,"$3,272.99 ",2839903,"$3,274.99 ","$3,282.37 ","$3,201 ",AMZN
3/23/2022,"$3,268.16 ",2790593,"$3,274.10 ","$3,327.40 ","$3,253.74 ",AMZN
3/22/2022,"$3,297.78 ",3204306,"$3,236.11 ","$3,323.34 ","$3,233.98 ",AMZN
3/21/2022,"$3,229.83 ",3326876,"$3,222.42 ","$3,261.68 ","$3,191.06 ",AMZN
3/18/2022,"$3,225.01 ",5148138,"$3,136.26 ","$3,231.88 ","$3,120.22 ",AMZN
3/17/2022,"$3,144.78 ",3646742,"$3,052.81 ","$3,149.97 ","$3,042.80 ",AMZN
3/16/2022,"$3,062.08 ",4247884,"$2,970 ","$3,063 ","$2,947.07 ",AMZN
3/15/2022,"$2,947.33 ",3779230,"$2,857 ","$2,959.70 ","$2,840 ",AMZN
