Date,Close,Volume,Open,High,Low,stock
4/29/2022,$363.38 ,4741764,$372.05 ,$377.12 ,$361.75 ,MA
4/28/2022,$378.83 ,6844252,$369.13 ,$381.97 ,$368.79 ,MA
4/27/2022,$361.57 ,5702321,$357 ,$373.74 ,$356 ,MA
4/26/2022,$344.11 ,3116431,$347.94 ,$350.06 ,$343.58 ,MA
4/25/2022,$354.60 ,3380449,$349.28 ,$355.06 ,$347.15 ,MA
4/22/2022,$351.18 ,2968820,$360.50 ,$362.10 ,$350.61 ,MA
4/21/2022,$364.44 ,3605298,$369.48 ,$375.22 ,$363.46 ,MA
4/20/2022,$365.29 ,3377333,$366.66 ,$371.89 ,$363.87 ,MA
4/19/2022,$363.87 ,2999255,$356.81 ,$364.67 ,$356.07 ,MA
4/18/2022,$356.80 ,1871358,$353.99 ,$360.76 ,$353.22 ,MA
4/14/2022,$357.82 ,3359062,$357.18 ,$362.95 ,$356.87 ,MA
4/13/2022,$355.14 ,3048528,$344.41 ,$357 ,$342.87 ,MA
4/12/2022,$345.80 ,4038522,$350 ,$354.48 ,$344.48 ,MA
4/11/2022,$347.37 ,1809207,$350.64 ,$351.50 ,$345.82 ,MA
4/8/2022,$352.27 ,2235107,$347.30 ,$355.89 ,$345.65 ,MA
4/7/2022,$349.55 ,2848450,$351.18 ,$352.90 ,$345.81 ,MA
4/6/2022,$353.55 ,3864524,$356.47 ,$357.09 ,$349.58 ,MA
4/5/2022,$363.32 ,2215913,$363.31 ,$367.63 ,$361.93 ,MA
4/4/2022,$366.91 ,3028641,$364.25 ,$369.76 ,$363.15 ,MA
4/1/2022,$363.97 ,3806911,$359.22 ,$367.89 ,$358.17 ,MA
3/31/2022,$357.38 ,4095825,$359.58 ,$364.12 ,$357.36 ,MA
3/30/2022,$362.24 ,2614256,$364.01 ,$368.28 ,$359.62 ,MA
3/29/2022,$367.55 ,5512630,$358.72 ,$370.76 ,$357.10 ,MA
3/28/2022,$350.49 ,3134618,$348.51 ,$350.56 ,$343.53 ,MA
3/25/2022,$349.02 ,2174405,$350.41 ,$351.54 ,$345.65 ,MA
3/24/2022,$349.35 ,2482921,$342.25 ,$349.45 ,$340.70 ,MA
3/23/2022,$342.18 ,2528000,$343.40 ,$346.73 ,$341.75 ,MA
3/22/2022,$349.53 ,4670069,$346.78 ,$353.93 ,$345.51 ,MA
3/21/2022,$345.58 ,6053935,$346.02 ,$350 ,$342.49 ,MA
